,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
15493,510228000939,Not Applicable,5102280,344,High,560,114.6999969,12.5,721,713,0.5027894003,0.5027894003,0.3905160391,1,VIRGINIA,51,87,348,0,1,63,14,18,252,62,168,4,2,4,1,12194,694,93,344,90
15494,510378001643,Not Applicable,5103780,59,High,278,29.15999985,10.8,171,143,0.5445859873,0.5445859873,0.8853503185,1,VIRGINIA,51,75,80,0,0,60,1,1,18,14,30,0,0,0,1,17367,200,70,79,80
15495,510072000258,Yes,5100720,45,High,166,26,11.7,166,137,0.5478547855,0.5478547855,0.5478547855,1,VIRGINIA,51,90,43,2,0,27,1,2,11,4,20,0,2,0,1,16014,101,65,50.59406569,80
15496,510117000410,Not Applicable,5101170,302,High,623,84.94000244,15.7,685,645,0.515037594,0.515037594,0.4684210526,1,VIRGINIA,51,82,324,3,1,118,10,25,167,27,162,1,3,3,1,11157,552,76,50.59406569,77
15497,510165000686,Not Applicable,5101650,223,High,194,59.20999908,14.4,434,420,0.5081967213,0.5081967213,0.2271662763,1,VIRGINIA,51,95,227,0,0,54,14,13,146,22,57,2,3,1,1,12190,251,80,50.59406569,90
15498,510189000795,Not Applicable,5101890,445,High,565,95.73999786,19.2,953,883,0.5190631808,0.5190631808,0.3077342048,1,VIRGINIA,51,89,456,1,27,61,50,15,302,47,130,1,3,57,1,10268,698,88,409,91
15499,510189000804,Not Applicable,5101890,407,High,913,110.6699982,15,732,925,0.4417622209,0.4417622209,0.5509957755,1,VIRGINIA,51,86,428,0,50,312,13,15,38,61,238,0,12,21,1,10268,659,77,384,82
15500,510189000806,Not Applicable,5101890,348,High,946,102.9400024,15.8,873,754,0.5365703749,0.5365703749,0.5814382299,1,VIRGINIA,51,80,396,1,19,185,67,16,108,70,222,9,9,50,1,10268,693,82,383,80
15501,510189000809,Not Applicable,5101890,383,High,1245,110.9899979,17.3,1042,875,0.5435576421,0.5435576421,0.6494522692,1,VIRGINIA,51,79,455,0,2,371,29,10,43,93,256,1,14,18,1,10268,933,71,389,80
15502,510189000811,Not Applicable,5101890,410,High,851,99.04000092,17.3,877,840,0.5107746069,0.5107746069,0.4956319161,1,VIRGINIA,51,78,475,2,59,120,107,20,167,45,216,6,11,90,1,10268,669,88,371,85
15503,510189000835,Not Applicable,5101890,342,High,879,99.52999878,15.9,823,760,0.5198989261,0.5198989261,0.5552747947,1,VIRGINIA,51,86,373,2,1,250,21,14,85,57,182,3,10,5,1,10268,753,79,370,77
