,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
10773,361290001058,Yes,3612900,73,High,124,45.61999893,10.6,244,240,0.5041322314,0.5041322314,0.2561983471,1,NEW YORK,36,85,75,0,3,0,1,2,69,11,26,0,1,0,1,20000,40.50417174,95,50.59406569,95
10774,361383001129,Yes,3613830,36,High,108,23.62000084,9.9,129,106,0.5489361702,0.5489361702,0.4595744681,1,NEW YORK,36,80,28,0,0,0,0,1,27,4,11,0,1,0,1,24851,40.50417174,80,50.59406569,90
10775,361497001254,Not Applicable,3614970,164,High,254,45.79999924,15.2,338,356,0.4870317003,0.4870317003,0.3659942363,1,NEW YORK,36,75,169,0,1,4,2,3,159,30,87,1,4,0,1,17202,40.50417174,90,50.59406569,95
10776,362547003521,Yes,3625470,38,High,123,25.26000023,10,124,128,0.4920634921,0.4920634921,0.4880952381,1,NEW YORK,36,90,48,1,0,0,2,0,45,2,22,0,0,0,1,21604,40.50417174,90,50.59406569,80
10777,363129004190,Yes,3631290,47,High,216,39.04999924,9.4,179,188,0.4877384196,0.4877384196,0.5885558583,1,NEW YORK,36,70,55,0,0,0,2,0,53,10,34,0,4,1,1,20923,40.50417174,90,50.59406569,90
10778,361227000987,Yes,3612270,193,High,440,63.34999847,12.6,422,377,0.5281602003,0.5281602003,0.5506883605,1,NEW YORK,36,74,214,0,1,14,5,10,184,52,113,0,2,0,1,19959,40.50417174,85,50.59406569,80
10779,361598001381,Yes,3615980,143,High,239,39.02000046,13.5,284,242,0.5399239544,0.5399239544,0.4543726236,1,NEW YORK,36,75,148,0,0,3,4,1,140,19,62,0,1,1,1,18323,40.50417174,85,50.59406569,90
10780,361875001707,Not Applicable,3618750,63,High,211,27.53000069,15.8,227,208,0.5218390805,0.5218390805,0.4850574713,1,NEW YORK,36,90,68,0,1,0,0,0,67,6,26,0,4,0,1,18280,40.50417174,95,50.59406569,95
10781,362130003038,Yes,3621300,28,High,118,23.40999985,10.6,118,131,0.4738955823,0.4738955823,0.4738955823,1,NEW YORK,36,80,43,0,0,0,0,0,43,6,26,0,5,0,1,28013,40.50417174,80,50.59406569,80
10782,360000500282,Yes,3600005,127,High,202,45.02000046,12.1,275,268,0.5064456722,0.5064456722,0.3720073665,1,NEW YORK,36,90,123,0,2,2,3,0,116,12,44,0,1,0,1,17410,124,95,123,95
10783,360711000500,Not Applicable,3607110,83,High,109,31,10.2,161,156,0.5078864353,0.5078864353,0.3438485804,1,NEW YORK,36,90,99,0,2,1,6,8,82,9,47,0,4,2,1,25969,40.50417174,95,50.59406569,95
10784,361494001249,Yes,3614940,99,High,326,39.27000046,12.4,245,241,0.5041152263,0.5041152263,0.670781893,1,NEW YORK,36,85,131,1,21,27,22,5,55,22,82,0,12,6,1,25431,40.50417174,75,50.59406569,90
10785,361521001279,Not Applicable,3615210,140,High,138,42.02000046,12.7,275,257,0.5169172932,0.5169172932,0.2593984962,1,NEW YORK,36,85,145,0,0,2,9,2,132,24,46,1,0,3,1,21206,40.50417174,95,50.59406569,95
10786,362043001886,Not Applicable,3620430,27,High,81,27.03000069,7.6,108,98,0.5242718447,0.5242718447,0.3932038835,1,NEW YORK,36,90,40,0,0,0,2,0,38,6,15,0,1,0,1,25218,40.50417174,80,50.59406569,80
10787,362862003886,Yes,3628620,94,High,356,57.02000046,11.1,329,305,0.5189274448,0.5189274448,0.5615141956,1,NEW YORK,36,85,109,0,0,3,8,7,91,17,58,0,2,0,1,25376,40.50417174,80,50.59406569,85
10788,360933000713,Not Applicable,3609330,119,High,188,43.02000046,10.5,245,208,0.5408388521,0.5408388521,0.4150110375,1,NEW YORK,36,90,98,0,1,1,2,3,91,6,36,0,2,0,1,23573,40.50417174,95,50.59406569,90
10789,361302001068,Not Applicable,3613020,57,High,188,37.00999832,11.3,216,203,0.5155131265,0.5155131265,0.4486873508,1,NEW YORK,36,80,57,0,0,1,0,2,54,7,25,0,0,0,1,20545,40.50417174,90,50.59406569,90
10790,361557001328,Not Applicable,3615570,45,High,110,22.63999939,12.9,152,139,0.5223367698,0.5223367698,0.3780068729,0,NEW YORK,36,70,39,1,2,2,1,3,30,6,11,0,0,0,1,22681,40.50417174,40.50417174,50.59406569,90
10791,361557001340,Not Applicable,3615570,320,High,389,100.1399994,13.5,665,688,0.4915003695,0.4915003695,0.2875092387,1,NEW YORK,36,94,356,0,53,35,30,26,212,25,119,1,4,6,1,22681,40.50417174,95,50.59406569,95
10792,361671001490,Not Applicable,3616710,81,High,73,33.00999832,10,170,159,0.5167173252,0.5167173252,0.2218844985,1,NEW YORK,36,95,87,2,3,2,3,5,72,8,20,0,1,0,1,22712,40.50417174,95,50.59406569,95
10793,362079002925,Not Applicable,3620790,46,High,121,17.02000046,12.8,116,102,0.5321100917,0.5321100917,0.5550458716,1,NEW YORK,36,90,44,0,0,2,2,1,39,4,22,0,3,0,1,21363,40.50417174,80,50.59406569,90
